Transaction_ID,Customer_ID,Transaction_Date,Category,Unit_Price,Quantity,Total_Amount,Payment_Method,City,Gender,Age
TXN_0001,CUST_035,2024-10-15,Maison,240.68,3,722.04,Livraison,Fès,F,63
TXN_0002,CUST_028,2024-05-14,Électronique,1284.27,2,2568.54,Carte Bancaire,Casablanca,F,64
TXN_0003,CUST_023,2024-03-02,Alimentation,1486.25,2,2972.5,Virement,Marrakech,M,44
TXN_0004,CUST_035,2024-08-14,Alimentation,1946.25,3,5838.75,Carte Bancaire,Fès,F,63
TXN_0005,CUST_005,2024-08-05,Maison,1093.19,3,3279.57,Livraison,Agadir,M,45
TXN_0006,CUST_013,2024-06-27,Électronique,697.28,2,1394.56,Carte Bancaire,Fès,F,27
TXN_0007,CUST_023,2024-08-18,Alimentation,1125.7,1,1125.7,Carte Bancaire,Marrakech,M,44
TXN_0008,CUST_032,2024-07-05,Maison,406.32,2,812.64,Livraison,Rabat,M,28
TXN_0009,CUST_006,2024-10-10,Beauté,515.04,2,1030.08,Livraison,Rabat,M,63
TXN_0010,CUST_011,2024-05-07,Mode,331.97,1,331.97,Virement,Marrakech,F,50
TXN_0011,CUST_033,2024-10-09,Électronique,1654.23,1,1654.23,Virement,Marrakech,F,43
TXN_0012,CUST_039,2024-07-16,Maison,893.08,1,893.08,Carte Bancaire,Marrakech,F,36
TXN_0013,CUST_024,2024-06-08,Électronique,867.29,2,1734.58,Carte Bancaire,Rabat,F,64
TXN_0014,CUST_012,2024-10-21,Mode,1453.31,1,1453.31,Carte Bancaire,Tanger,M,34
TXN_0015,CUST_017,2024-07-05,Électronique,1955.57,2,3911.14,Virement,Fès,M,40
TXN_0016,CUST_037,2024-08-11,Électronique,1305.27,2,2610.54,Livraison,Fès,F,43
TXN_0017,CUST_026,2024-06-08,Beauté,253.62,3,760.86,Carte Bancaire,Agadir,F,48
TXN_0018,CUST_038,2024-10-06,Alimentation,1301.38,2,2602.76,Livraison,Tanger,F,30
TXN_0019,CUST_011,2024-08-27,Électronique,386.36,3,1159.08,Livraison,Marrakech,F,50
TXN_0020,CUST_016,2024-09-15,Beauté,719.32,3,2157.96,Livraison,Marrakech,F,59
TXN_0021,CUST_003,2024-05-26,Beauté,1325.83,1,1325.83,Carte Bancaire,Tanger,M,48
TXN_0022,CUST_040,2024-05-07,Mode,1691.65,3,5074.95,Carte Bancaire,Marrakech,F,27
TXN_0023,CUST_025,2024-05-30,Mode,590.09,2,1180.18,Carte Bancaire,Fès,M,60
